zip_code,zone,city,state,latitude,longitude
00606,12b,MARICAO,PR,18.18,-66.98
00707,13a,MAUNABO,PR,18,-65.9
00680,12b,MAYAGUEZ,PR,18.2,-67.14
00682,12b,MAYAGUEZ,PR,18.2,-67.14
00715,13a,MERCEDITA,PR,18,-66.56
00676,12b,MOCA,PR,18.39,-67.11
00687,12b,MOROVIS,PR,18.32,-66.4
00718,13a,NAGUABO,PR,18.21,-65.73
00719,12b,NARANJITO,PR,18.3,-66.24
00720,12a,OROCOVIS,PR,18.22,-66.39
00723,13a,PATILLAS,PR,18,-66.01
00624,13a,PENUELAS,PR,18.06,-66.72
00716,13a,PONCE,PR,17.98,-66.6
00717,13a,PONCE,PR,17.98,-66.6
00730,13a,PONCE,PR,17.98,-66.6
00731,13a,PONCE,PR,17.98,-66.6
00740,13a,"PUERTO REAL",PR,18.33,-65.63
00741,13a,"PUNTA SANTIAGO",PR,18.15,-65.76
00678,13a,QUEBRADILLAS,PR,18.47,-66.93
00677,13a,RINCON,PR,18.34,-67.25
00745,13a,"RIO GRANDE",PR,18.38,-65.83
00637,12b,"SABANA GRANDE",PR,18.08,-66.96
00688,12b,"SABANA HOYOS",PR,18.38,-66.62
00952,13a,"SABANA SECA",PR,18.42,-66.19
00751,13a,SALINAS,PR,17.97,-66.29
00690,13a,"SAN ANTONIO",PR,18.49,-67.09
00683,12a,"SAN GERMAN",PR,18.08,-67.04
00901,13b,"SAN JUAN",PR,18.4,-66.06
00907,13a,"SAN JUAN",PR,18.4,-66.06
00909,13a,"SAN JUAN",PR,18.44,-66.06
00911,13a,"SAN JUAN",PR,18.4,-66.06
00912,13a,"SAN JUAN",PR,18.4,-66.06
00913,13a,"SAN JUAN",PR,18.4,-66.06
00915,13a,"SAN JUAN",PR,18.4,-66.06
00917,13a,"SAN JUAN",PR,18.4,-66.06
00918,13a,"SAN JUAN",PR,18.4,-66.06
00920,13a,"SAN JUAN",PR,18.4,-66.06
00921,13a,"SAN JUAN",PR,18.4,-66.06
00923,13a,"SAN JUAN",PR,18.4,-66.06
00924,13a,"SAN JUAN",PR,18.4,-66.06
00925,13a,"SAN JUAN",PR,18.4,-66.06
00926,13a,"SAN JUAN",PR,18.4,-66.06
00927,13a,"SAN JUAN",PR,18.4,-66.06
00956,12b,BAYAMON,PR,18.28,-66.13
00957,12b,BAYAMON,PR,18.28,-66.13
00959,12b,BAYAMON,PR,18.28,-66.13
02478,6b,BELMONT,MA,42.39,-71.18
02445,6b,BROOKLINE,MA,42.32,-71.14
02446,6b,BROOKLINE,MA,42.32,-71.14
02420,6a,LEXINGTON,MA,42.44,-71.23
02421,6a,LEXINGTON,MA,42.44,-71.23
02492,6b,NEEDHAM,MA,42.28,-71.24
02494,6b,"NEEDHAM HEIGHTS",MA,42.28,-71.24
02458,6b,NEWTON,MA,42.33,-71.2
02459,6b,"NEWTON CENTER",MA,42.31,-71.19
02460,6b,NEWTONVILLE,MA,42.35,-71.2
